state,source_packet,yaml_dir,worksheet_tests,cross_model,aggregate,notes
DE,done,done,done,in_progress,blocked_weights,"ENCODED 2026-08-12; cross-model TRIAGE COMPLETE 2026-08-13. TAXSIM window after the T10 exclusion: 0.597/0.627/0.711/0.709 (from 0.576/0.588/0.633/0.631). PE window 0.79/0.82/0.78/0.80, 65% EXACT on the clean subset, diffuse remainder, no dominant mass (the ~$180 report median is the FULL sample including federally misaligned records). THE DECISIVE DECOMPOSITION: where TAXSIM and we agree on BOTH state AGI and the deduction we match at 0.953 -- the acceptance bar. So the DE rate schedule, the $110 credits, the EITC and the combined-separate election are all sound, and the entire residual lives in the AGI and deduction stages. Three drivers found, all documented as T10/T11/T12: (T10, EXCLUDE, applied) TAXSIM reports a positive DE itemized deduction for filers whose federal components are ALL zero and uses it, at the SALT cap ($10,000; $5,000 MFS); v34 is correct so only v35 is fabricated; v35>0 share jumps ~54% (2017-18) to 97.0% (2019-20). Lifted TY2019 to 0.711. (T11, annotate) THE MFJ GAP: TAXSIM v35 = our DE itemized MINUS the federal Schedule A ""other"" class, exact to the dollar on 44.9% of affected records. DE PIT-RSA Line 16 carries that class so we are right; TAXSIM runs HIGH. Setting aside would give TY2019 0.820. Not excluded because CA/DC/MD/MN/NM/VA show 2-20% identity with residuals both ways -- whether TAXSIM omits the class there is OPEN, and MD/MN are already attributed. (T12, annotate) THE 60+ / PENSION ITEM: AGI gaps are exact multiples of DE's $2,000 (under 60) / $12,500 (60+) exclusion. TAXSIM grants the $2,000 against EARLY IRA distributions that PIT-RES Line 6 disqualifies, and to filers with NO retirement income -- 619-642 records/yr have v32_state_agi < 0 where ours is >= 0 (age-80 zero-income records show -1,999.99). Restricting to AGI-agreeing records lifts TY2019 to 0.773. ONE OUR-SIDE RISK LEFT: at 60+ we apply the $12,500 to pension PLUS eligible retirement income, and the -12,500 group is 86% interest / 64% dividends / 56% capital gains with only 32% holding a pension. The base follows the PIT-RES Line 6 worksheet as transcribed across seven booklet years. If that definition is narrower we over-exclude up to $12,500 of base (~$825) per 60+ investment-income return. A BOOKLET RE-READ OF THE LINE 6 WORKSHEET WOULD SETTLE IT. CLOSED, do not re-investigate: the DE EITC is NOT a driver -- records with a positive DE EITC match at 0.990, our ratio is exactly 0.20 as 1117 requires, and TAXSIM reports its own DE EITC at the same median (590.52 vs 589.56); an earlier single-record lead suggesting an EITC-stage problem was UNREPRESENTATIVE. TAXSIM DOES grant the age-60 $110 credit (v40 220 vs 110). Our st_item_ded exceeding the federal pre-limitation total on 221/1,704 records is BY DESIGN (no federal SALT cap in the DE base). KS item_include_other 0 vs the other seven states' 1 is form-driven, not an inconsistency. 2026-08-15 (CA close-out spillover): the state-only-itemization fix (*_item_ded_potential) plus the standard crosswalk-exposure KD row lifts the TAXSIM clean window to 0.908/0.900/0.911/0.912 (from 0.60-0.71)."
FL,done,done,done,done,blocked_weights,No broad IIT; zero-tax stub encoded
GA,done,done,done,in_progress,blocked_weights,"Form 500 baseline through TY2025; generic retirement exclusion and CDCTC match covered. FIXED 2026-08-11: MFJ personal exemption was half its true value ($3,700 total vs the correct $7,400; O.C.G.A. 48-7-26) — the dominant exemptions-stage cross-model wedge ($212.75/married return at 5.75%); TAXSIM probe matches corrected law exactly on 5 structural cases; test GA-4 pins it. RERUN 2026-08-11: TAXSIM clean 68-77% (from 50-54); exemptions stage cleared entirely as predicted, residual is now state-AGI-stage (retirement-exclusion data limits); PE clean 82/80/92% 2022-24, but PE 2021 45.6% unmoved. PE-2021 DIG RESOLVED 2026-08-11: two stacked mechanisms — (1) OUR HB 593 std-deduction anchor was a year early ('2021' -> '2022'; PE and the 2021 Form 500 agree on 4,600/6,000/3,000; ded.yaml fixed, test GA-5 pins it; TAXSIM window unaffected); (2) PE books the HB 1302 surplus rebate ($250/$375/$500, liability-capped nonrefundable) into TY2021 — exclude KD row w/ pe_ga_surplus_rebate predicate (issues-doc P5). Masses 204/329/437 = rebate minus the 46/63 std wedge, fully attributed. See source packet for retirement ownership, state-tax itemization, and other IND-CR credits 2026-08-22 CLASS SWEEP: landed the DC/CA crosswalk-exposure class, added by sweep rather than per-state dig. Exposed records match at 0.254 against 0.929 unexposed on 4.6% of the clean subset (pooled 2017-2020); the predicate fires on no record in any of the ten states whose encoding gives the class no route, which is the control that rules out ""federal itemizers are simply harder"". TAXSIM cells 0.945/0.883/0.887/0.889 -> 0.945/0.924/0.926/0.926. Encoding unchanged. See class_sweep_2026_08_22.md 2026-08-22 CLASS SWEEP: landed the P9 class (PolicyEngine denies the per-dependent benefit at 18+); our side is flat in dependent age by construction (n_dep * st_dep_v, no age parameter in the schema), and the probed PE rise resolves exactly to the encoded amount at a published state rate. PE cells 0.887/0.872/0.874 -> 0.971/0.954/0.931. Encoding unchanged"
HI,done,done,done,in_progress,blocked_weights,"Form N-11 baseline TY2017-2025 + ENACTED Act 46 SLH 2024 ramp (bracket steps TY2025/2027/2029 -- the first step is 2025, already printed in the 2025 booklet -- and std-deduction steps 2024/2026/2028/2030/2031). Twelve-bracket schedule (nine in 2017, Act 107); $1,144 exemptions w/ aged doubling; employer-funded pension exclusion via pension_sub_share=1 (SOURCE-SPLIT APPROXIMATION: 401(k)/employee-contribution portions over-excluded, Tier 1 imputation; TAXSIM/PE face the same input); SS fully exempt; own itemized on HI AGI w/ independent election, $100k/$150k/$200k SALT-income disallowance (new salt_addback_agi_thresh), fixed $166,800/$83,400 overall limitation on HI AGI (new pease_agi_base); 7.25% alternative capital-gains tax (NEW st_ord.kg_alt_rate/kg_alt_floor machinery, worksheet-exact); EITC 20% nonref 2018-22 (carryforward documented) -> refundable 2023 -> 40% 2023-27 w/ Act 163 SUNSET reversion to 20% in 2028; food/excise credit as banded percap table in credit_tables.csv (2017/2023/2028-reversion vintages); refundable CDCC w/ stepped 25->15% rate slide + Act 163 $10k/$20k caps (sunset). Known-differences: 10% medical floor (federal-floor components used), renters credit (Tier 1), DHS public-support minor children, misc-2% post-TCJA. Tests HI-1..HI-8 CROSS-MODEL TRIAGE 2026-08-21: 0.470-0.491 with a SIGN FLIP at TCJA (2017 ours-high 70%, 2018-2020 ours-low 72%, median -$566) pointing at the itemized base where HI de-conforms. Standard crosswalk-exposure KD row added (independent election on HI AGI + SALT-income disallowance + fixed overall limitation + misc-2% survival, none reproducible from a crosswalk that hands SALT inside otheritem): 0.491/0.475/0.476/0.470 -> 0.778/0.703/0.698/0.694. RESIDUAL ~0.70 NOT YET ATTRIBUTED -- least explained of the 2026-08-21 batch. Keys on SS recipients (median -$996 vs -$165), consistent with pension_sub_share=1 over-excluding; note st_retirement_excl and st_retire_exempt are both ZERO for HI in harness output so the subtraction reaches HI AGI another way. Stage agreement partial (AGI 68%, credits 67%, taxable income 56%); worst band stratum 6 at 0.241; food/excise credit gaps of -$650 to -$1,150 recur -- next dig. RE-RUN 2026-08-21 (job 22970509): landed exactly on projection, 0.778/0.703/0.698/0.694. RESIDUAL DECOMPOSED 2026-08-21 (2,159 TY2019 mismatches): class C 31.9% = the pension source split (we subtract median 30,574 vs TAXSIM 10,447; not gross SS nor 85% of it, so TAXSIM applies its own partial exclusion) -- Tier 1 data limitation, clears with the pension source split, NOT an encoding error. Class A 26.8% = a subtraction TAXSIM lacks, of which 209/579 are exactly 15% of txbl_int (the model-wide sub_us_int assumption, sitting UNDER the existing ALL-states txbl_int>5000 exclusion yet still breaking tolerance); rest unidentified. Class B 2.8% small. Class D 38.5% = AGI agrees, median +$115, NOT attributable from residuals -- the credit comparison is self-contradictory (we appear to grant MORE credits yet compute HIGHER tax), so v40 does not carry HI's full credit set; NEEDS A SYNTHETIC PROBE like MA's. Two corrections: the pension subtraction reaches HI AGI via st_subtractions (35% nonzero), not st_retirement_excl; and v35>0 does NOT mean TAXSIM itemized (its median there is 981 against a 2,200 std) -- the KD predicate form is an exposure test, not an election claim. 2026-08-22 PE WINDOW DIG (entered from the board, not the state -- almost every catastrophic cell in the set was a PE 2021 cell). TWO causes, both landed. (1) PE-SIDE BUG, whole PE window: PolicyEngine deducts HAWAII'S OWN income tax on the Hawaii return and never applies the Worksheet A-2 disallowance. On a pure-wage filer with no deductible items, hi_salt_deduction equals hi_withheld_income_tax to the cent (49,246.60 at 501k in 2022) and runs smoothly through the 100k cliff (6,909.60 at 95k, 7,404.60 at 101k). The arithmetic closes: each extra 1,000 of wages adds only 920 of HI taxable income, and 0.92 x the statutory 11% top rate is the 0.1012 effective marginal rate measured at 500k/600k/1,001k in both 2019 and 2022 -- PE's rate PARAMETERS are the correct HRS 235-51 ladder, the base is wrong, so the error grows with income. Record split is decisive: above the statutory thresholds match 0.021-0.026 with median diff +2,964 to +3,384; BELOW them median diff is exactly 0. HI-specific (MT/NY report zero, ME/MA/SC/CA/VT/AR/IA do not expose the variable). Worth filing upstream. Excluded on the above-threshold population; cells 0.648/0.625/0.699 -> 0.786/0.767/0.878, exactly as predicted. (2) P5: the Act 115 (2022) 300 refundable refund netted into TY2021 -- but the exclusion removes 95.6% of the 2021 cell, leaving 16 records, so 2021 is a DROPPED cell in the IL-2021/CO-TABOR sense and the verdict rests on 2022-2024. STILL SHORT: the remaining 0.77-0.88 is most likely the pension source split already identified as a Tier 1 limitation in the TAXSIM triage. See pe_window_2021_and_hi.md"
IA,done,done,done,in_progress,blocked_weights,"IA 1040 baseline TY2017-2025 (flat rate confirmed through TY2026). THREE REGIMES and FOUR BRACKET COUNTS in nine years, driven by three acts. TY2017-22: Iowa's own 'Iowa net income' base (422.7) from federal AGI, a NINE-BRACKET ladder whose bounds DO NOT VARY BY FILING STATUS (0.36-8.98% to TY2018, 0.33-8.53% from TY2019 under SF 2417 = 2018 Acts ch 1161 s.73), a small indexed standard deduction (2,000/4,920 to 2,210/5,450), and a FULL UNCAPPED CASH-BASIS FEDERAL INCOME TAX DEDUCTION. TY2023: base becomes FEDERAL TAXABLE INCOME under IRC 63 (SF 2417 ss.108-112, 114-118), the federal deduction and the Iowa standard/itemized deduction and the Iowa AMT are all repealed, and HF 2317 (2022 Acts ch 1002 s.15) writes a 4-bracket 4.40/4.82/5.70/6.00 ladder with bounds that NOW DO vary by status (MFJ = 2x). TY2024: 3 brackets 4.40/4.82/5.70. TY2025+: FLAT 3.8% (SF 2442 = 2024 Acts ch 1094 s.2), with 422.5A repealed and bracket indexation stricken. THE WIDELY-CITED '3.9% FLAT IN 2026' IS STALE -- SF 2442 superseded it and IDR's 2025-10-21 release confirms 3.8% for TY2026. TWO FEATURES THAT SEPARATE IOWA FROM EVERY OTHER STATE IN THE SET: (1) the federal income tax deduction reached STANDARD-DEDUCTION filers, not only itemizers, and was uncapped (422.9(1) and (2)(b)) -- MO/AL/OR/MT all cap it or confine it to itemizers or both (pinned by IA-2); (2) because the pre-2023 ladder is status-invariant, Iowa gave married couples a COMBINED RETURN instead of a joint schedule -- filing status 3, two columns of one form, each running the same ladder against one spouse's income with a PER-SPOUSE standard deduction and per-spouse exemption credits, federal-tax items prorated by income share. A two-earner couple almost always split: at 60k+40k in TY2022 it saves 1,162.61 (pinned by IA-3). ENCODED through the existing KY/DE combined-separate machinery plus one new parameter (st_ord.combined_sep_std_amount) because Iowa's separate amount is NOT a clean fraction of its joint one -- 2,210 each against 5,450 joint. The combined-separate column deduction was also generalised so deductions BEYOND the standard/itemized amount (Iowa's federal tax deduction above all) prorate between columns by income share, which is what the form does; inert for KY/DE. ABOLISHED from TY2023 (422.5(11) requires the state status to match federal; status codes renumbered 1S/2MFJ/3MFS-comb/4MFS-sep/5HOH/6QW -> 1S/2MFJ/3MFS/4HOH/5QSS). ERRATUM IN A PRIMARY SOURCE: IDR's own 2023 Statistical Report Table 1 prints the third TY2023 bracket as '5.70% over $31,050' -- that is the TY2024 indexed figure. The report's own Figure 1, the narrative, the 2022-11-21 press release and the statute all say $30,000. USE $30,000 FOR TY2023 (TY2023 was not indexed at all; TY2024 applies 1.035). ALTERNATE TAX: caps tax at a stated rate x (net income - 13,500), or - 32,000 where a filer is 65+, for EVERY STATUS EXCEPT SINGLE. Rate tracked the TOP MARGINAL rate through TY2024 (8.98/8.53/6.0/5.7) and SF 2442 then hard-coded 4.3% -- ABOVE the 3.8% flat rate, so from TY2025 it only helps taxpayers near the thresholds. ENCODED through the MA no-tax-status formula, since max(0, tax - rate x max(0, income - thresh)) yields tax = min(tax, rate x (income - thresh)) exactly; the single-filer exclusion FALLS OUT of the arithmetic rather than needing a gate, because a zero single threshold makes the ceiling the alternate rate times all of income and that rate is at or above Iowa's top marginal rate in every year (pinned by IA-6/IA-7). Two new params for the elderly variant (st_credits.lic_thresh_aged, lic_aged_min_age). RETIREMENT: the age test is FIFTY-FIVE, not 65, and disability or qualifying-survivor status qualifies at any age. Capped at 6,000 per separate filer / 12,000 joint through TY2022, then HF 2317 s.27 struck the cap entirely from TY2023 -- the test did not change, only the ceiling (pinned by IA-8/IA-9). SS NOT TAXED in any year, though a 'reportable Social Security' figure is still computed for the low-income and filing tests. EXEMPTIONS ARE CREDITS, not exemptions: 40 personal / 40 per dependent / 20 age-65 / 20 blind, with HEAD OF HOUSEHOLD GETTING THE DOUBLED 80 same as MFJ (pinned by IA-10). NEVER INDEXED and unchanged TY2017-TY2026, as are the low-income thresholds (9,000/13,500; 24,000/32,000 at 65+) and the filing thresholds -- all verified identical in the 2017 and 2026 Code editions. EITC 15% REFUNDABLE in every year, one of the steadiest parameters in the fifty-state set. Child care credit REFUNDABLE, 75/65/55/50/40/30% of the GROSS federal s.21 credit ('without regard to whether or not the federal credit was limited by the taxpayer's federal tax liability'), with the top tier extended from a 45,000 cutoff to 90,000 by 2021 Acts ch 177 RETROACTIVELY to TY2021 (pinned by IA-13a/13b); the six-band family plus the cap machinery carries a seven-band schedule. Iowa was NEVER subject to the federal SALT cap on its own Schedule A (422.9(2)(l): IRC 164(b)(6) 'does not apply'), and allowed itemizing even for federal standard-deduction takers. BIGGEST KD: THE IOWA AMT, 6.7% (TY2017-18) and 6.4% (TY2019-22) read off Form IA 6251, exemptions 26,000/35,000/17,500 phased out at 25% above 112,500/150,000/75,000, NOT an election, repealed TY2023 along with the 422.11B minimum tax credit (usable on the TY2023 return only) -- encoding it needs an Iowa AMTI base from federal AMTI plus nonconformity adjustments, which the model has no plumbing for. Also not modeled: the single-filer low-income exemption (form 41-146 -- for every status that may use the alternate tax the alternate ceiling is tighter and governs, so only the single version is missing, and it binds in a narrow band); the Iowa QBI phase-in (25/50/75% for TY2019-22); the Iowa-specific Schedule A adjustments in both directions (adoption above 3% of net income, charitable mileage excess, 5,000 in-home care of a disabled relative, IRC 25 offset, education-savings and first-time-homebuyer subtractions, 7.5% medical floor); the IA 104 high-income itemized limitation (form not retrieved); military retirement and 10 U.S.C. 1447 survivor benefits, which pre-2023 were excluded IN ADDITION to the capped general exclusion; the above-the-line health insurance premium adjustment; the early childhood development credit (mutually exclusive with the care credit), tuition and textbook credit (25% of the first 1,000, raised to 2,000 from TY2021) and volunteer FF / reserve peace officer credit (100, raised to 250 from TY2021); the separate lump-sum tax; and the school district and EMS SURTAXES, levied as a percentage of state tax and deferred to the locality phase like the MD county piggyback. UNVERIFIED: 41-026 worksheets for TY2023/24; stated inflation factors for TY2018/19/21/24; no TY2017 booklet exists on IDR's site; the federal AMT's place in the deductible base (inferred from silence); and whether status 4 got the 9,000 or 13,500 low-income threshold pre-2023 -- the statute says 9,000 and the TY2021 instructions say 13,500. Tests IA-1..IA-13b 2026-08-22 CLASS SWEEP: landed the DC/CA crosswalk-exposure class, added by sweep rather than per-state dig. Exposed records match at 0.163 against 0.813 unexposed on 13.3% of the clean subset (pooled 2017-2020); the predicate fires on no record in any of the ten states whose encoding gives the class no route, which is the control that rules out ""federal itemizers are simply harder"". TAXSIM cells 0.873/0.767/0.765/0.527 -> 0.874/0.873/0.874/0.625. Encoding unchanged. See class_sweep_2026_08_22.md"
ID,done,done,done,done,blocked_weights,"Form 40/39R baseline TY2017-2025; federal-taxable start (rolling group 0: conformity re-enacted retroactively every session, unlike SC); four rate regimes ending in 2023+ flat tax w/ CPI-INDEXED zero bracket (4,489/8,978 -> 4,811/9,622 -- not the statutory 2,500/5,000); MFS on single schedule, HoH on MARRIED schedule; CO-style SALT addback; full SS subtraction; care-expense deduction 3k/6k (no ARPA adoption); grocery credit 100->120 (2023)->155 flat (2025, aged +20 eliminated) via new generic percap credit; $205 CTC 2018-2025 (sunset 2026); $10 PBF excise ALL years (never repealed) w/ blind exemption. Known-differences: retirement-benefits deduction, Idaho-situs 60% capital-gains deduction, US-obligation/muni shares, 529/MSA, grocery SNAP proration, PTE workaround. 2026-08-11: PE-window KD row promoted annotate -> whole-window exclude (package-source verified: PE prorates the grocery credit by imputed-SNAP-free months AND omits the $10 PBF from state_income_tax; pe_id_grocery_credit exported as diagnostic) — PE window no longer scored against the known-bad benchmark; verdict rests on the TAXSIM window. 2026-08-22: NOT closed. Landed two verified classes (both supersede annotate rows): DC/CA crosswalk-exposure (ID starts from federal taxable income so the federal itemized deduction enters directly; itemizers 0.162 vs non-itemizers 0.928) and the ID instance of T18, probed specifically and confirmed (siitax identical at 4,873.16 whether the spouse earns 40k, nothing or 2k; flat $415.50 = 6,000 x 6.925%). Cells 0.618/0.745/0.746/0.739 -> 0.977/0.867/0.867/0.860. 2017 clears, 2018-2020 do not -- remaining cause is post-TCJA and the QBID annotate row is the strongest lead (ID base is federal taxable income, net of 199A, which only exists from 2018). Not yet tested UPDATE same day: CLOSED at 0.9997/0.9827/0.9842/0.9833. The QBI lead was right and the cause was a harness gap: TAXSIM fed_aligned never compared federal taxable income (PE branch always did, ""for fed-taxable-start states""), and v18_federal_taxable_income was available but dropped by the leg select, so federal 199A differences landed whole in the ID cell (QBI records 0.60 vs 0.91; taxable gap = -qbi_ded, ratio -1.0006). Fixing the filter lifted 160 of 200 TAXSIM cells across all states"
IN,done,done,done,in_progress,blocked_weights,"State AGI baseline through TY2026. FIXED 2026-08-11 (exemptions-stage triage): dependent exemption was a flat $1,500 — corrected to $1,000 base + $1,500 dependent-child add-on (new generic st_exempt.dep_child_addl w/ age bound; IC 6-3-1-3.5); universal $1,000 65+/blind exemptions were omitted as 'income-tested' but only the extra $500 is — now encoded. TAXSIM probe matches all three exactly (and confirms TAXSIM excludes county tax); tests IN-2/IN-3. RERUN 2026-08-11: TAXSIM clean 83-85% (from 67%); remaining exemptions-stage mass (~1.4k/yr) consistent with TAXSIM's any-age child add-on (ours ≤23); PE clean 90-94% (2023/24 within 1.2pts of the bar). County income tax and special deductions/credits remain documented"
KS,done,done,done,in_progress,blocked_weights,"ENCODED 2026-08-12 (R6 batch C pilot): K-40 baseline TY2017-2025; SB 30 FINAL 2017 law (retroactive 2.9/4.9/5.2 + pass-through repeal); low-income zero-tax CLIFF via OH base_amounts (through 2023, KS-2/2b); SB 1 2024 restructure (5.2/5.58 two-bracket, std/exemption raise, SS cliff removed, 50% CDCTC); SS $75k AGI cliff 2017-23; HoH extra exemption ALL years (PE misses pre-2024); SB 30 itemized phase-in via fractional item_include shares; 17% refundable EITC; dependent-filer std worksheet. Tests KS-1..KS-5; 4-shape TAXSIM probe exact to the cent. Known-diffs: food sales tax credit omitted (gates unrepresentable, ~$125/exemption, ends 2025), KPERS offsetting pair. Pre-registered PE bugs: 2024+ zero-tax-threshold misuse of filing table, missing pre-2024 HoH exemption, no 2017 schedule, $1-off 2024 brackets 2026-08-22 CLASS SWEEP: landed the DC/CA crosswalk-exposure class, added by sweep rather than per-state dig. Exposed records match at 0.186 against 0.913 unexposed on 3.3% of the clean subset (pooled 2017-2020); the predicate fires on no record in any of the ten states whose encoding gives the class no route, which is the control that rules out ""federal itemizers are simply harder"". TAXSIM cells 0.908/0.881/0.883/0.887 -> 0.921/0.908/0.912/0.913. Encoding unchanged. See class_sweep_2026_08_22.md 2026-08-22 CLASS SWEEP: landed the P9 class (PolicyEngine denies the per-dependent benefit at 18+); our side is flat in dependent age by construction (n_dep * st_dep_v, no age parameter in the schema), and the probed PE rise resolves exactly to the encoded amount at a published state rate. PE cells 0.871/0.851/0.859/0.878 -> 0.936/0.929/0.932/0.953. Encoding unchanged"
KY,done,done,done,in_progress,blocked_weights,"Form 740 baseline through TY2025. MAJOR FIXES 2026-08-11 (triage of the module-worst 0.273/0.46-0.48 TAXSIM window): 2017 graduated schedule (was flat 5.8%); combined-return per-spouse std ded via new generic st_ord.combined_sep (lower-of joint/combined; was 1x per return — the deductions-stage wedge); std vintages 2017-2021 de-shifted ($2,480 2017 per packet); $10 personal + $40 aged/blind credits encoded pre-FSTC per form ordering. Tests KY-1..KY-11; KY-2 matches TAXSIM to the cent. 4 KD rows added incl. two probe-verified TAXSIM bugs (2017 double std ded; unconditional 2x std for one-earner couples). RERUN 2026-08-11: TAXSIM clean 63.8% 2017 (from 27.3%) and 61-63% 2018-20 (from 46-48); PE clean 77-86%; residual stages split state-AGI + deductions, landing on the 4 KD rows as pre-registered. MGI base and pension-source limitations remain documented 2026-08-22 CLASS SWEEP: landed the DC/CA crosswalk-exposure class, added by sweep rather than per-state dig. Exposed records match at 0.219 against 0.831 unexposed on 4.7% of the clean subset (pooled 2017-2020); the predicate fires on no record in any of the ten states whose encoding gives the class no route, which is the control that rules out ""federal itemizers are simply harder"". TAXSIM cells 0.782/0.820/0.809/0.793 -> 0.778/0.859/0.847/0.828. Encoding unchanged. See class_sweep_2026_08_22.md"
LA,done,done,done,in_progress,blocked_weights,"IT-540 baseline TY2017-2025. THE ENCODING SUBTLETY THAT DOMINATES THIS STATE is where the exemption comes off. Louisiana does NOT subtract the combined personal exemption-standard deduction before applying the brackets: R.S. 47:32(A)(1)/294/295(B), as LDR states them in RIB 21-032 fn.5, require it to be 'deducted from the lowest tax bracket first and then the remaining brackets in increasing order', i.e. tax = sched(tax table income) - sched(E) with bracket bounds anchored to UNREDUCED income. ALL 43,008 CELLS of the published TY2017-TY2024 tax tables reproduce exactly under that rule and NOT under sched(TTI - E) -- a TY2021 single filer with one exemption and 27,625 of TTI owes 765, where the naive form gives 675 (new st_ord.exempt_from_bottom; pinned by LA-1). One consequence: where E exceeds the first bracket (joint/HoH with several exemptions) the excess is relieved at the SECOND bracket rate. THREE RATE REGIMES: 2/4/6% through TY2021 alongside a CONSTITUTIONALLY MANDATED, UNCAPPED federal income tax deduction; 1.85/3.50/4.25% for TY2022-24 after Act 395 of 2021 traded that deduction for lower rates (contingent on Amendment No. 2, ratified 2021-11-13 223,269 to 189,973 -- note the amendment only made the deduction PERMISSIVE and set a 4.75% rate ceiling; the repeal was STATUTORY); and a FLAT 3% from TY2025 under Act 11 of the 2024 Third E.S., verified from R.S. 47:32(A) and IT-540 line 11 ('Multiply Line 10 by .03') -- no TY2025 tax table exists. Bracket bounds NEVER MOVED and were never indexed: 12,500/50,000 for single, MFS AND HoH, doubled for MFJ/QSS. BIGGEST CORRECTION TO THE SECONDARY LITERATURE: the EXCESS FEDERAL ITEMIZED DEDUCTION was NOT repealed in 2022, it was NARROWED to medical and dental only (R.S. 47:293(3)), and the narrowed version is still on the TY2025 return -- line 8A, the itemized total, is collected but UNUSED in the arithmetic from TY2022 (new st_ded.item_less_fed_std; pinned by LA-8a/8b). It points at the FEDERAL standard deduction rather than printing its own amounts, so federal std-deduction reforms reach Louisiana through that line. HoH IS A HYBRID and easy to get wrong: the JOINT exemption base of 9,000 with add-ons starting after ONE exemption, but the SINGLE brackets (verified against 1,344 HoH table cells per year; pinned by LA-4). Exemption structure through TY2024: 4,500 S/MFS, 9,000 MFJ/QSS/HoH, plus 1,000 per exemption beyond the first (S/MFS/HoH) or beyond the second (MFJ/QSS) -- which works out to 1,000 per dependant, per 65+ taxpayer and per blind taxpayer in every status. TY2025 restructures completely: 12,500 and 25,000 (HoH moves to the FULL 25,000) and EVERY add-on repealed, so LOUISIANA HAS NO DEPENDANT ALLOWANCE OF ANY KIND from TY2025, with CPI-U indexation from 2026 (formula enacted, amounts UNPUBLISHED -- indexed here with no rounding, flagged). Retirement: SS 100% exempt EVERY year (code 07E, R.S. 47:44.2) and an age-65 exclusion of 6,000/person doubling to 12,000 for TY2025 (R.S. 47:44.1(A)), base = 1040 lines 4b+5b only, per person so a joint 65+ couple gets 2x. EIC 3.5% (2017-18) -> 5% from TY2019 (Act 6 of 2018 2nd E.S.), refundable, with the 5% window ENACTED to end 2030-12-31 and revert to 3.5% (encoded). CHILD CARE CREDIT IS TWO CREDITS sharing a name, split at 25,000 of federal AGI: at or below, computed from LOUISIANA's own worksheet (expenses capped 3k/6k, lesser-earner limit, sliding decimal, then HALVED) and REFUNDABLE, claimable with no federal credit; above, a share of the FEDERAL credit (30% to 35k, 10% to 60k, then a $25-per-RETURN backstop) and NONREFUNDABLE with a 5-year carryforward (new st_credits.cdctc_style_switch_agi, cdctc_ref_agi_limit, cdctc_cap_per_return; pinned by LA-9/11a/11b). TY2021 ONLY the decimal table collapses to a FLAT .50 row tracking the ARPA expansion -- hard-coding the sliding scale understates that year by a third (LA-10). Filing: NO Louisiana dollar threshold in any year, purely the federal requirement; five statuses that must MATCH federal, so unlike AR/MS/MT there is no separate-columns election to model. KDs: the Schedule E 02E-05E exclusions give 100% exemption to LASERS, Teachers, FEDERAL retirement incl. the military SBP, and a long list of other named Louisiana systems (school employees, State Police, municipal employees and police, parochial, firefighters, Assessors, Clerks of Court, DAs, Registrars, Sheriffs) -- unobservable and the single largest Louisiana gap given how large a share of its retirees are public; the School Readiness Credit MULTIPLIES the care credit by a Quality Start star rating (2.0 at five stars down to zero at one); education relief runs as DEDUCTIONS not credits (codes 17E-19E, 5,000/dependant to TY2023 and 6,000 from TY2024 under Act 423 of 2023 -- the R.S. 47:297(D) education CREDIT was sunset by Act 375 of 2017 and is unavailable from TY2017); a separate 6,000 permanent-total-disability exclusion under code 49E; the net capital gain deduction (20E) survives for sales perfected before 2025-01-01 despite RIB 25-012 calling it repealed; the TY2017-19 foreign-tax-credit add-back election; and the LA Citizens insurance credit (25%, refundable, TY2017-19 only). Act 11 repealed the R.S. 47:32.1 automatic rate-reduction triggers, so there is NO contingent future rate path. UNVERIFIED: TY2026 indexed amounts and the rounding/base-period convention; the >8-exemptions table rule, which is internally inconsistent in the booklet; the federal AMT treatment inside the federal tax deduction (inferred from silence); and an 'Acts 2025, No. 473, eff. Jan 1 2026' amendment to R.S. 47:293 -- the 2025 session was not surveyed. Tests LA-1..LA-11b 2026-08-22 CLASS SWEEP: landed the DC/CA crosswalk-exposure class, added by sweep rather than per-state dig. Exposed records match at 0.185 against 0.944 unexposed on 4.6% of the clean subset (pooled 2017-2020); the predicate fires on no record in any of the ten states whose encoding gives the class no route, which is the control that rules out ""federal itemizers are simply harder"". TAXSIM cells 0.962/0.897/0.896/0.894 -> 0.970/0.940/0.938/0.934. Encoding unchanged. See class_sweep_2026_08_22.md 2026-08-22 CLASS SWEEP: P9 confirmed for this state but ANNOTATED not excluded -- the per-dependent amount is below the $100 harness tolerance, so one dependent aged 18+ cannot produce a mismatch and an exclusion removed matching records (demonstrated on the first rerun). Still bites with two or more such dependents. Encoding unchanged"
